,name,year,month,uri,rank,listUri,finalWorth,category,otherCompensation,person,visible,personName,country,city,source,industries,countryOfCitizenship,timestamp,version,naturalId,position,imageExists,selfMade,status,gender,lastName,firstName,listDescription,date,wealthList,familyList,thumbnail,squareImage,bioSuppress,csfDisplayFields,suppressOnProfiles,bios,abouts,parentListUri,premiumProfile,age,birthDate,numberOfSiblings,numberOfSiblingsEst,embargo
0,Thailand's 50 Richest,2020,4,chearavanont-brothers,1,thailand-billionaires,27300.0,Food & Beverage,0,"{'name': 'Chearavanont Brothers', 'uri': 'chearavanont-brothers', 'imageExists': False, 'squareImage': 'https://specials-images.forbesimg.com/imageserve/60d9ecb94bb9397d72570f06/416x416.jpg?background=000000&cropX1=71&cropX2=1912&cropY1=0&cropY2=1841'}",True,Chearavanont Brothers,Thailand,Bangkok,food,['Food & Beverage'],Thailand,1625703503561,25,faris/17/2020/9024,1,False,False,D,M,Brothers,Chearavanont,Thailand's 50 Richest,1585699200000,False,False,http://specials-images.forbesimg.com/imageserve/60d9ecb94bb9397d72570f06/280x425.jpg?fit=scale&background=000000,https://specials-images.forbesimg.com/imageserve/60d9ecb94bb9397d72570f06/416x416.jpg?background=000000&cropX1=71&cropX2=1912&cropY1=0&cropY2=1841,False,"['rank', 'finalWorth', 'personName', 'bios', 'bio']",False,"[""Four siblings draw their wealth from Charoen Pokphand Group, one of the world's largest producers of animal feed and livestock."", 'Their father Chia Ek Chor, along with his brother Choncharoen Chiaravanont, opened a shop selling seeds imported from China to Thai farmers in 1921. ', ""Dhanin Chearavanont, the youngest (pictured above), was CP's chairman and CEO for 48 years until he stepped down in 2017 but remains senior chairman."", ""Dhanin's eldest son, Soopakij, and the youngest, Suphachai, are CP's chairman and CEO, respectively."", ""In March 2020, CP Group made a successful $10.6 billion bid to acquire Tesco's operations in Thailand and Malaysia. ""]","[""Following the COVID-19 pandemic, the group has invested $3 million in a factory to produce 3 million face masks per month. It's also providing food to 40 hospitals."", ""Dhanin's daughter,Thippaporn, runs real estate firm Magnolia Quality Development.\r\n"", 'The group has donated $29 million to various initiatives to tackle the Covid-19 pandemic in Thailand.']",thailand-billionaires,False,,,,,
1,Thailand's 50 Richest,2020,4,chalerm-yoovidhya,2,thailand-billionaires,20200.0,Food and Beverage,0,"{'name': 'Chalerm Yoovidhya & family', 'uri': 'chalerm-yoovidhya', 'imageExists': True, 'squareImage': '//specials-images.forbesimg.com/imageserve/5e78217ec7b02d000666e45b/416x416.jpg?background=000000&cropX1=39&cropX2=1609&cropY1=156&cropY2=1726'}",True,Chalerm Yoovidhya & family,Thailand,Bangkok,energy drinks,['Food and Beverage'],Thailand,1625687910699,2,faris/17/2020/7986,2,True,False,U,M,Yoovidhya,Chalerm,Thailand's 50 Richest,1585699200000,False,False,http://specials-images.forbesimg.com/imageserve/5e78217ec7b02d000666e45b/280x425.jpg?fit=scale&background=000000,//specials-images.forbesimg.com/imageserve/5e78217ec7b02d000666e45b/416x416.jpg?background=000000&cropX1=39&cropX2=1609&cropY1=156&cropY2=1726,False,"['rank', 'finalWorth', 'personName', 'bios', 'bio']",False,"['Chalerm Yoovidhya heads a sprawling clan that co-owns Red Bull, the iconic energy drink, which sold 7.5 billion cans across 171 countries in 2019. ', ""The family's stake includes a small stake owned personally by Chalerm, eldest son of Red Bull cofounder, the late Chaleo. "", 'Red Bull Thailand is embroiled in a trademark fight with Red Bull in China.', 'Chalerm also owns a vineyard called Siam Winery, which he founded in 1986.']","[""Chalerm's son Vorayuth, who faces an arrest warrant for his alleged involvement in a fatal hit-and-run case going back to 2012, is a fugitive."", ""Chalerm has reportedly commissioned a chalet in Japan's Mount Niseko Annupuri, a popular ski resort area.""]",thailand-billionaires,False,69.0,-609984000000.0,,,
2,Thailand's 50 Richest,2020,4,charoen-sirivadhanabhakdi,3,thailand-billionaires,10500.0,Food and Beverage,0,"{'name': 'Charoen Sirivadhanabhakdi', 'uri': 'charoen-sirivadhanabhakdi', 'imageExists': True, 'squareImage': 'https://specials-images.forbesimg.com/imageserve/60d9ed504bb9397d72570f0a/416x416.jpg?background=000000&cropX1=0&cropX2=600&cropY1=0&cropY2=600'}",True,Charoen Sirivadhanabhakdi,Thailand,Bangkok,"alcohol, real estate",['Food and Beverage'],Thailand,1587679281214,42,faris/17/2020/4744,3,True,True,D,M,Sirivadhanabhakdi,Charoen,Thailand's 50 Richest,1585782000000,False,False,http://specials-images.forbesimg.com/imageserve/60d9ed504bb9397d72570f0a/280x425.jpg?fit=scale&background=000000,https://specials-images.forbesimg.com/imageserve/60d9ed504bb9397d72570f0a/416x416.jpg?background=000000&cropX1=0&cropX2=600&cropY1=0&cropY2=600,False,"['rank', 'finalWorth', 'personName', 'bios', 'bio']",False,"[""Son of a Bangkok street vendor, Charoen Sirivadhanabhakdi controls Thai Beverage, Thailand's largest brewer, known for its Chang beer."", 'Other big assets include Singapore beverage and property giant Fraser & Neave.', ""Charoen's retail empire includes hypermarket chain Big C Supercenter, acquired in 2016 for more than $6 billion.\r\n"", 'Charoen listed his privately-held property unit, Asset World Corp, in October 2019 but continues to hold a majority stake.']","[""Charoen's son Panote, who looks after the property interests, is overseeing One Bangkok, a $3.5 billion mixed-use development in the heart of Bangkok."", 'Charoen took Thai Bev public in Singapore in 2006 after attempts to list in Thailand were derailed by protests against the promotion of alcohol. ']",,False,75.0,-810000000000.0,,,
3,Thailand's 50 Richest,2020,4,chirathivat-family,4,thailand-billionaires,9500.0,Fashion & Retail,0,"{'name': 'Chirathivat family', 'uri': 'chirathivat-family', 'imageExists': True, 'squareImage': 'https://specials-images.forbesimg.com/imageserve/62bc629c7f60de4f6a70f110/416x416.jpg?background=000000&cropX1=0&cropX2=1557&cropY1=0&cropY2=1557'}",True,Chirathivat family,Thailand,Bangkok,retail,['Fashion & Retail'],Thailand,1625704252144,2,faris/17/2020/9048,4,True,False,D,,Chirathivat family,,Thailand's 50 Richest,1585699200000,False,False,http://specials-images.forbesimg.com/imageserve/62bc629c7f60de4f6a70f110/280x425.jpg?fit=scale&background=000000,https://specials-images.forbesimg.com/imageserve/62bc629c7f60de4f6a70f110/416x416.jpg?background=000000&cropX1=0&cropX2=1557&cropY1=0&cropY2=1557,False,"['rank', 'finalWorth', 'personName', 'bios', 'bio']",False,"[""The Chirathivat family controls Central Group, the country's biggest mall developer."", ""The group is led by Tos Chirathivat (pictured above), grandson of the group's founder."", ""In February 2020, the family listed their private retail arm, Central Retail, raising $2.5 billion in what was Thailand's biggest IPO. "", ""E-commerce site, JD Central, is a $560 million joint venture with China's JD.com. ""]","[""In 1927 Tos' grandfather Tiang Chirathivat, a poor emigrant from China, set up his first shop in Bangkok, named Keng Seng Lee."", ""In 1956, founder Tiang's son Samrit opened the country's first department store, in the Wang Burapha neighborhood of Bangkok.""]",thailand-billionaires,False,,,,,
4,Thailand's 50 Richest,2020,4,sarath-ratanavadi,5,thailand-billionaires,6800.0,Energy,0,"{'name': 'Sarath Ratanavadi', 'uri': 'sarath-ratanavadi', 'imageExists': False, 'squareImage': '//specials-images.forbesimg.com/imageserve/5cd1a6fb573d4d0008f30d8e/416x416.jpg?background=000000&cropX1=308&cropX2=1776&cropY1=0&cropY2=1467'}",True,Sarath Ratanavadi,Thailand,Bangkok,energy,['Energy'],Thailand,1587679318407,28,faris/17/2020/205346,5,False,True,U,M,Ratanavadi,Sarath,Thailand's 50 Richest,1585782000000,False,False,http://specials-images.forbesimg.com/imageserve/5cd1a6fb573d4d0008f30d8e/280x425.jpg?fit=scale&background=000000,//specials-images.forbesimg.com/imageserve/5cd1a6fb573d4d0008f30d8e/416x416.jpg?background=000000&cropX1=308&cropX2=1776&cropY1=0&cropY2=1467,False,"['rank', 'finalWorth', 'personName', 'bios', 'bio']",False,"[""Sarath Ratanavadi is the CEO of Gulf Energy Development, Thailand's third-largest energy producer. \t\r\n"", ""He took the company public in 2017 raising more than $700 million, in what was the country's biggest IPO in a decade."", 'Shares of Gulf Energy Development, in which he has a significant stake, have soared since its IPO. \t', 'In 2019, revenue was up two-thirds to $1billion as new gas-fired power projects came online. ', ""Gulf Energy has a 70:30 joint venture with state-owned oil and gas firm PTT to build a $1.3 billion LNG terminal and port on Thailand's east coast.""]","['He went to college in Bangkok, then moved to the U.S. for a masters degree in engineering.', 'Sarath is the former managing director of Thailand Golf Championship.']",,False,54.0,-141177600000.0,,,
5,Thailand's 50 Richest,2020,4,aiyawatt-srivaddhanaprabha,6,thailand-billionaires,3800.0,Fashion & Retail,0,"{'name': 'Aiyawatt Srivaddhanaprabha & family', 'uri': 'aiyawatt-srivaddhanaprabha', 'imageExists': False, 'squareImage': 'https://specials-images.forbesimg.com/imageserve/60e5e6b3f4f51841a39bebbe/416x416.jpg?background=000000&cropX1=424&cropX2=912&cropY1=36&cropY2=524'}",True,Aiyawatt Srivaddhanaprabha & family,Thailand,Bangkok,duty-free,['Fashion & Retail'],Thailand,1624260182690,32,faris/17/2020/219938,6,False,False,D,M,Srivaddhanaprabha,Aiyawatt,Thailand's 50 Richest,1585699200000,False,False,http://specials-images.forbesimg.com/imageserve/60e5e6b3f4f51841a39bebbe/280x425.jpg?fit=scale&background=000000,https://specials-images.forbesimg.com/imageserve/60e5e6b3f4f51841a39bebbe/416x416.jpg?background=000000&cropX1=424&cropX2=912&cropY1=36&cropY2=524,False,"['rank', 'finalWorth', 'personName', 'bios', 'bio']",False,"[""Aiyawatt Srivaddhanaprabha is the son of Thailand's late duty-free tycoon, Vichai Srivaddhanaprabha, who died in a helicopter crash in October 2018."", ""With estimated annual revenue of  $3.2 billion, King Power,  is the country's leading operator of airport duty-free stores. "", ""The company is now run by Aiyawatt (Top), who's King Power's chairman and CEO and shares his fortune with his mother and three siblings."", 'Aiyawatt also chairs Leicester City, the English football club his family bought and turned into one of the best performing clubs in the league. ', ""They also own a major chunk of MahaNakhon, a Bangkok development that has Thailand's tallest skyscraper.""]","['Vichai started King Power in 1989 with a duty-free shop in downtown Bangkok.', ""The country's late, revered King Bhumibol Adulyadej, gave Vichai Srivaddhanaprabha his surname. It was originally Raksriaksorn. ""]",thailand-billionaires,False,34.0,491184000000.0,,,
6,Thailand's 50 Richest,2020,4,prachak-tangkaravakoon-1,7,thailand-billionaires,3100.0,Manufacturing,0,"{'name': 'Prachak Tangkaravakoon & family', 'uri': 'prachak-tangkaravakoon-1', 'imageExists': False, 'squareImage': '//specials-images.forbesimg.com/imageserve/5ad8df8031358e4112b82e99/416x416.jpg?background=000000&cropX1=914&cropX2=2647&cropY1=398&cropY2=2132'}",True,Prachak Tangkaravakoon & family,Thailand,Bangkok,paints,['Manufacturing'],Thailand,1625687910703,4,faris/17/2020/228916,7,False,True,Up,M,Tangkaravakoon,Prachak,Thailand's 50 Richest,1585699200000,False,False,http://specials-images.forbesimg.com/imageserve/5ad8df8031358e4112b82e99/280x425.jpg?fit=scale&background=000000,//specials-images.forbesimg.com/imageserve/5ad8df8031358e4112b82e99/416x416.jpg?background=000000&cropX1=914&cropX2=2647&cropY1=398&cropY2=2132,False,"['rank', 'finalWorth', 'personName', 'bios', 'bio']",False,"[""Prachak Tangkaravakoon chairs $520 million (revenue) TOA Paint (Thailand), the country's biggest paint company. "", 'TOA Paint has three plants in Thailand, plus factories in Vietnam, Laos, Myanmar, Malaysia, Cambodia and Indonesia.', ""The company's IPO in 2017 raised $360 million to ramp up regional expansion, including in Myanmar and Cambodia."", 'His fortune got a boost after son Vonnarat completed a backdoor listing deal of cable and wire firm Stark Corporation, in 2019.\r\n', ""Son Jatuphat is in charge of TOA Paint and Erawan Sugar. Son Nattavuth runs the family's investment arm, TOA Venture Holding.""]","[""In 1964, Prachak expanded the family's hardware business into paint supplies, opening the first paint factory in 1972."", 'The tycoon long ago handed over operations to his four children.']",thailand-billionaires,False,76.0,-813196800000.0,,,
7,Thailand's 50 Richest,2020,4,osathanugrah-family,8,thailand-billionaires,3000.0,Food and Beverage,0,"{'name': 'Osathanugrah Family', 'uri': 'osathanugrah-family', 'imageExists': True, 'squareImage': 'https://specials-images.forbesimg.com/imageserve/60d9eddeeb1965b3459cb54d/416x416.jpg?background=000000&cropX1=0&cropX2=2404&cropY1=0&cropY2=2404'}",True,Osathanugrah Family,Thailand,Bangkok,beverages,['Food and Beverage'],Thailand,1625703610971,11,faris/17/2020/196822,8,True,False,E,,Osathanugrah Family,,Thailand's 50 Richest,1585699200000,False,False,http://specials-images.forbesimg.com/imageserve/60d9eddeeb1965b3459cb54d/280x425.jpg?fit=scale&background=000000,https://specials-images.forbesimg.com/imageserve/60d9eddeeb1965b3459cb54d/416x416.jpg?background=000000&cropX1=0&cropX2=2404&cropY1=0&cropY2=2404,False,"['rank', 'finalWorth', 'personName', 'bios', 'bio']",False,"[""The Osathanugrah family owns 129-year-old Osotspa, among Thailand's oldest companies and maker of the popular M-150 energy drink."", ""The family's wealth got a boost from the October 2018 IPO of Osotspa, which is run by Petch Osathanugrah, grandson of the founder."", 'An avid art collector, Petch has built a contemporary art museum in Bangkok.']","['Osotspa started in 1891 as a pharmacy selling herbal medicines.', 'Petch also runs the family-founded Bangkok University.']",thailand-billionaires,False,,,,,
8,Thailand's 50 Richest,2020,4,vanich-chaiyawan,9,thailand-billionaires,2800.0,Finance and Investments,0,"{'name': 'Vanich Chaiyawan', 'uri': 'vanich-chaiyawan', 'imageExists': True, 'squareImage': '//specials-images.forbesimg.com/imageserve/5cd1aa980a0ec40007b48637/416x416.jpg?background=000000&cropX1=3&cropX2=314&cropY1=5&cropY2=316'}",True,Vanich Chaiyawan,Thailand,Bangkok,"insurance, beverages",['Finance and Investments'],Thailand,1587679148922,20,faris/17/2020/7988,9,True,True,D,M,Chaiyawan,Vanich,Thailand's 50 Richest,1585782000000,False,False,http://specials-images.forbesimg.com/imageserve/5cd1aa980a0ec40007b48637/280x425.jpg?fit=scale&background=000000,//specials-images.forbesimg.com/imageserve/5cd1aa980a0ec40007b48637/416x416.jpg?background=000000&cropX1=3&cropX2=314&cropY1=5&cropY2=316,False,"['rank', 'finalWorth', 'personName', 'bios', 'bio']",False,"[""Former rice trader Vanich Chaiyawan controls Thai Life, Thailand's third-biggest life insurer."", 'The company is run by his son Chai, who is aiming to make it into a regional brand.', 'Thai Life sells mostly through agents and is known for its emotionally-charged TV commercials. ', ""Japan's Meiji Yasuda has a 15% stake in Thai Life."", 'In August 2019, Thai Life entered Myanmar by acquiring a 35% stake in Citizen Business Insurance of Yangon. ']","[""Vanich also owns a tiny stake in Thai Beverage, fellow billionaire Charoen Sirivadhanabhakdi's Singapore-listed brewer and distiller. "", 'His son, Winyou, who is a banker and novelist, has published two books, The Emptiness of True Love and The Emptiness of Yesterday.']",,False,88.0,-1199232000000.0,,,
9,Thailand's 50 Richest,2020,4,chuchat-petaumpai-daonapa-petampai,10,thailand-billionaires,2650.0,Finance and Investments,0,"{'name': 'Chuchat Petaumpai & Daonapa Petampai', 'uri': 'chuchat-petaumpai-daonapa-petampai', 'imageExists': False, 'squareImage': 'https://specials-images.forbesimg.com/imageserve/60d9efde9714e24362b7eaea/416x416.jpg?background=000000&cropX1=135&cropX2=533&cropY1=10&cropY2=408'}",True,Chuchat Petaumpai & Daonapa Petampai,Thailand,Bangkok,motorcycle loans,['Finance and Investments'],Thailand,1617669807075,13,faris/17/2020/196551,10,False,True,U,,Chuchat Petaumpai &,Daonapa Petampai,Thailand's 50 Richest,1585782000000,False,False,http://specials-images.forbesimg.com/imageserve/60d9efde9714e24362b7eaea/280x425.jpg?fit=scale&background=000000,https://specials-images.forbesimg.com/imageserve/60d9efde9714e24362b7eaea/416x416.jpg?background=000000&cropX1=135&cropX2=533&cropY1=10&cropY2=408,False,"['rank', 'finalWorth', 'personName', 'bios', 'bio']",False,"['Husband and wife, Chuchat Petaumpai and Daonapa Petampai, gave up their bank jobs to start Muangthai Leasing in 1992.', ""They grew the company into Thailand's biggest provider of loans against motorcycles with more than 3,200 branches."", ""That company's customers include farmers, factory workers and civil servants."", 'The couple took their company public in 2014 and changed its name to Muangthai Capital in 2018.']","['Chuchat is an avid wine collector with 2,000 bottles in his private cellar.', 'Their U.S.-educated son, Parithad, works with them.']",,False,66.0,-522979200000.0,,,
